,Life_Years,Costs,Util
118,13.901472938289277,112251.16834099001,7.846967161614131
119,13.901475693559256,112251.20300616765,7.8469683916009805
120,13.901478151861772,112251.23393507922,7.846969489017778
121,13.901480344847602,112251.26152593516,7.846970467993848
122,13.901482301151505,112251.28613900038,7.846971341312122
123,13.901484046317789,112251.30809565773,7.846972120375909
124,13.901485603133848,112251.32768260436,7.846972815357799
125,13.901486991927712,112251.34515559522,7.846973435332484
126,13.901488230833474,112251.36074278253,7.846973988395254
127,13.901489336028073,112251.37464769484,7.846974481767701
128,13.901490321942525,112251.38705189458,7.846974921892012
129,13.901491201450355,112251.39811734873,7.846975314515091
130,13.901491986035689,112251.40798854375,7.846975664763596
131,13.901492685943209,112251.41679437217,7.846975977210881
132,13.901493310311922,112251.42464981554,7.846976255936712
133,13.901493867193278,112251.43165617244,7.846976504535357
134,13.90149436388191,112251.43790521969,7.8469767262632315
135,13.901494806883989,112251.44347881405,7.846976924024769
136,13.901495202002435,112251.4484499645,7.846977100410467
137,13.90149555441294,112251.45288378854,7.846977257730817
138,13.90149586873176,112251.45683836521,7.8469773980465725
139,13.901496149076184,112251.46036549583,7.846977523195743
140,13.901496399118471,112251.46351138261,7.8469776348176685
141,13.901496622133948,112251.46631723378,7.846977734374495
142,13.901496821043912,112251.46881980341,7.846977823170327
143,13.901496998453904,112251.47105187291,7.84697790236831
144,13.901497156687835,112251.47304268034,7.846977973005863
