sex,age,value,lower,upper,se,var
male,48,0.46504091409777315,0.29836099700223023,0.594963419083117,0.290670373639269,0.08448926611159226
male,49,0.487406528964853,0.3185561282507184,0.6157376277371859,0.29123786949673813,0.08481949662899907
male,50,0.5093811214986921,0.3383675084395477,0.6362965142859923,0.2919704257295157,0.08524672950067465
male,51,0.5311952076078208,0.35804301915084535,0.6566414645741703,0.2926264765148584,0.08563025475750098
male,52,0.5529616481250043,0.377564266688881,0.676718076653239,0.29317073376507086,0.08594907913635005
male,53,0.5746420028577547,0.39669766265574724,0.6965145267031908,0.29382052676649467,0.08633050194934042
male,54,0.5960062883626407,0.4151509703004422,0.7159802476019331,0.2948126917554611,0.08691452322010051
male,55,0.6166348943560124,0.4327365966896247,0.7350757494294756,0.2962923696850539,0.08778916833358465
male,56,0.6361919571219788,0.44928864501662075,0.7537419699899159,0.2983642584738293,0.08902123073463802
male,57,0.6544025738988736,0.46460856469046635,0.7718275063086003,0.30107456278577127,0.09064589235664333
male,58,0.6708841592689411,0.4784617373259977,0.7887710569516125,0.3041031332331025,0.0924787156421901
male,59,0.6852686574378319,0.49062731632700757,0.8038563562634964,0.30696445913775905,0.09422717917373695
male,60,0.697516761075649,0.5011283195097211,0.8168331819313182,0.30939076517316505,0.09572264557443656
male,61,0.7077043716575064,0.5100696496976682,0.8276506932087735,0.31122942264088316,0.09686375351737747
male,62,0.7160136337965306,0.5175978950093062,0.8364758225790601,0.31250036901835876,0.0976564806366104
male,63,0.7226532528752583,0.523870064875336,0.8435299458096408,0.31326668331561863,0.0981360148755681
male,64,0.7278319342762268,0.5290431687264586,0.8490344386679791,0.31359144454269006,0.09833959409037105
male,65,0.7317583833819731,0.533274215993375,0.8532106769215383,0.31353773170960003,0.09830590920560113
male,66,0.734641305575034,0.5367202161067864,0.8562800363377814,0.31316862382637506,0.09807458694930561
male,67,0.7366894062379469,0.5395381784973937,0.8584638926841717,0.31254719990304236,0.09768575216723233
male,68,0.7381113907532487,0.541885112595898,0.8599836217281723,0.3117365389496288,0.09717966971629345
male,69,0.7391159645034764,0.543918027833,0.8610605992372465,0.31079971997616157,0.09659646593726044
