,dom_strat,inc_cost,inc_eff
149,"Q1Y, Start age: 25",0.10584360366881285,2226.6360119181772
150,"Q2Y, Start age: 25",0.17736659625310125,5679.863026248375
151,"Q1Y, Start age: 25",0.08639676221461201,931.652428861471
152,"Q2Y, Start age: 25",0.051954887768530966,3029.691656704341
153,"Q2Y, Start age: 25",0.2448869781131897,9686.5831457581
154,"Q2Y, Start age: 25",0.050943109456749625,2507.100899496283
155,"Q1Y, Start age: 25",0.08177123548610155,7523.163079923648
156,"Q1Y, Start age: 25",0.05683823604348959,3336.749987442643
157,"Q1Y, Start age: 25",0.09384250896063762,7389.465379641835
158,"Q2Y, Start age: 25",0.06447414209976543,1816.8428326373833
159,"Q1Y, Start age: 25",0.04314710668986521,3817.6198413193742
160,"Q1Y, Start age: 25",0.08759658591717923,5647.906124143912
161,"Q2Y, Start age: 25",0.08311706472260028,2088.911816226777
162,"Q1Y, Start age: 25",0.09363686306052799,5958.994245662718
163,"Q2Y, Start age: 25",0.08618055710401151,3040.625253591774
164,"Q1Y, Start age: 25",0.07811302718487312,6922.944029015231
165,"Q1Y, Start age: 25",0.07583456866920102,4873.479783060651
166,"Q1Y, Start age: 25",0.045794383058247234,3944.289298936983
167,"Q1Y, Start age: 25",0.05536502057430326,1376.243782004989
168,"Q1Y, Start age: 25",0.07288243722176801,5005.676397142528
169,"Q2Y, Start age: 25",0.05727508389841418,1434.6001045816047
170,"Q1Y, Start age: 25",0.07064462473271504,5013.853986418417
171,"Q1Y, Start age: 25",0.047073377427626184,1516.1836109210199
172,"Q1Y, Start age: 25",0.08143030482246516,5617.159309307521
173,"Q1Y, Start age: 25",0.09569018698973863,5323.337403153364
174,"Q1Y, Start age: 25",0.06792773126325713,6154.422726375196
175,"Q1Y, Start age: 25",0.09312946626005214,6045.447554397342
176,"Q1Y, Start age: 25",0.061841014668292615,5271.3329967945465
177,"Q1Y, Start age: 25",0.07090328325437056,1688.3453171019064
178,"Q1Y, Start age: 25",0.09581702186523344,4236.658934731095
179,"Q1Y, Start age: 25",0.06175355280521089,3443.1216534414525
180,"Q2Y, Start age: 25",0.1912073321538763,7796.169422404382
181,"Q1Y, Start age: 25",0.06444285393574134,1844.2379349665534
182,"Q2Y, Start age: 25",0.06492130359212211,2835.2721748443983
183,"Q1Y, Start age: 25",0.06804135851158577,5869.901999391284
184,"Q1Y, Start age: 25",0.08037153485279447,3723.4091254041778
185,"Q2Y, Start age: 30",0.2074283263384551,1205.1695955490613
186,"Q1Y, Start age: 25",0.056004299418258796,5409.230742304637
187,"Q1Y, Start age: 25",0.07353543868177326,7319.061845890705
188,"Q1Y, Start age: 25",0.061478730624696,1761.016168935159
189,"Q1Y, Start age: 25",0.05913629484594196,5783.12788679295
190,"Q1Y, Start age: 25",0.06145208744938202,5344.360419579567
191,"Q1Y, Start age: 25",0.06968713945314065,6710.352930751997
192,"Q1Y, Start age: 25",0.06200420631010317,4000.15290714032
193,"Q1Y, Start age: 25",0.05,0.0
194,"Q1Y, Start age: 25",0.0698636454676631,4659.762523410736
195,"Q1Y, Start age: 25",0.06994653827943154,5169.420546215148
196,"Q1Y, Start age: 25",0.1307303113043723,4005.379252323677
197,"Q2Y, Start age: 25",0.0327779122531382,2950.4280703055047
198,"Q1Y, Start age: 25",0.07044957482739633,5800.815455585314
199,"Q2Y, Start age: 25",0.07967745772003099,2512.558039429303
200,"Q2Y, Start age: 25",0.17353322323465292,5677.995954483889
201,"Q1Y, Start age: 25",0.0852404023013662,3963.96273789557
202,"Q1Y, Start age: 25",0.07599414574622543,3834.0322687720145
203,"Q2Y, Start age: 25",0.07018469254823856,1505.7838764445914
204,"Q2Y, Start age: 25",0.0659776314767484,2451.426869037583
205,"Q1Y, Start age: 25",0.05738967375505055,4956.857635083237
206,"Q1Y, Start age: 25",0.04204851901756612,2677.088325084802
207,"Q1Y, Start age: 25",0.05572918635938251,4728.694679506098
208,"Q1Y, Start age: 25",0.0859579811652651,5332.615443174502
209,"Q1Y, Start age: 25",0.07729556732918397,4025.840868133404
210,"Q1Y, Start age: 25",0.0697638722827918,1510.3393433263373
211,"Q1Y, Start age: 25",0.05004779676846738,2646.132691131861
212,"Q1Y, Start age: 25",0.07935633563838707,4799.5095035071645
213,"Q1Y, Start age: 25",0.08375650518422617,7978.279260521522
214,"Q1Y, Start age: 25",0.08299645481251616,2669.7161210933264
215,"Q1Y, Start age: 25",0.07373337074673358,2647.8047640530967
216,"Q1Y, Start age: 25",0.0634781927206447,4071.678283610461
217,"Q1Y, Start age: 25",0.08988488922273774,1269.978983178411
218,"Q2Y, Start age: 25",0.06837002859496266,2058.7359848600863
219,"Q1Y, Start age: 25",0.08897286061566945,7036.166788833187
220,"Q2Y, Start age: 25",0.10057151300283351,4508.229440945979
221,"Q1Y, Start age: 25",0.08696492592718741,4166.225652736623
222,"Q2Y, Start age: 25",0.19595007980761991,6682.597794380872
223,"Q2Y, Start age: 25",0.08767850973259428,2939.90907601855
224,"Q1Y, Start age: 25",0.09088322149502304,176.22407831493183
225,"Q2Y, Start age: 25",0.06873489599370686,2837.1560662323755
226,"Q1Y, Start age: 25",0.09167370638934358,3611.153725281398
227,"Q1Y, Start age: 25",0.05389765869482588,5224.047569027538
228,"Q1Y, Start age: 25",0.06926988469633955,4243.587185640543
229,"Q1Y, Start age: 25",0.09123768558105283,2764.334433364016
230,"Q1Y, Start age: 25",0.0895948047510231,4887.53694592102
231,"Q1Y, Start age: 25",0.0742455906698325,5005.819000716332
232,"Q1Y, Start age: 25",0.08131597581671102,4298.884134288528
233,"Q1Y, Start age: 25",0.0654446743736834,4090.023275083986
234,"Q1Y, Start age: 25",0.10466687833055843,4972.906107686795
235,"Q2Y, Start age: 25",0.1682864439784204,5516.86558432701
236,"Q1Y, Start age: 25",0.07422242297013426,7283.771936346988
237,"Q1Y, Start age: 25",0.06992257284921521,5506.203249970462
238,"Q1Y, Start age: 25",0.07700347437718591,5077.421903984396
239,"Q1Y, Start age: 25",0.08858509168548778,8085.51542023052
240,"Q2Y, Start age: 25",0.055674721019002504,5124.551058011806
241,"Q1Y, Start age: 25",0.05516165675455653,1364.0463261455152
242,"Q2Y, Start age: 25",0.057232018111982086,1318.7592894020527
243,"Q1Y, Start age: 25",0.08653867918782154,2052.465847650594
244,"Q1Y, Start age: 25",0.04998853898281652,3100.700068398455
245,"Q1Y, Start age: 25",0.06683249549297088,3618.9334899486785
246,"Q1Y, Start age: 25",0.07470962843138551,5624.393261560352
247,"Q1Y, Start age: 25",0.07740609938674581,5455.612618058189
248,"Q2Y, Start age: 25",0.05132305846859353,1440.1414788090806
249,"Q1Y, Start age: 25",0.06895104904972627,6520.0275365755915
250,"Q1Y, Start age: 25",0.07505543180981533,6572.224018039662
251,"Q1Y, Start age: 25",0.07341684681978933,5880.782022452466
252,"Q1Y, Start age: 25",0.08201086735625296,7209.318858985742
253,"Q1Y, Start age: 25",0.05912383958875722,1996.064680348707
254,"Q1Y, Start age: 25",0.07168115544271458,5912.535324884659
255,"Q1Y, Start age: 25",0.0848888808697481,4181.0970571871585
256,"Q1Y, Start age: 25",0.08728383090860703,4113.676876071102
257,"Q1Y, Start age: 25",0.08954383550445044,5125.052295721322
258,"Q1Y, Start age: 25",0.06489820205593233,3893.4822361792903
